WGATAR_position,WGATAR_chr,WGATAR_id,WGATAR_start,WGATAR_end,WGATAR_to_GATA1_peak_summit,Number_editable_bases,background_genes_counts_on_TAD,WGATAG_to_nearest_gene_distance,dis_motif2motif,RAD21,GATA1,TAL1,LDB1,CTCF,MED1,ATAC,BRD4,NIPBL,GATA2,effect_value,PHRED,phylop,chromatin_state,delta_occupancy,delta_atac,scores_evo2,GC_content
chr19:12870716-12870722,chr19,WGATAR_1456,12870716,12870722,14,1,53,-25219,83,6.75,62.25,7.25,6.0,8.0,9.0,1.56,4.5,7.25,8.0,0.548763344,1.4315833333333332,0.142167,16,0.35673082,0.32949305,-0.5662841796875,0.45
chr19:12870805-12870811,chr19,WGATAR_1455,12870805,12870811,75,3,53,-25308,83,6.75,54.0,9.0,7.5,11.75,7.25,2.6,5.0,6.75,7.5,0.038291249,3.5730000000000004,0.0,16,0.9862318,0.22556806,-0.431671142578125,0.45
chr19:12895325-12895331,chr19,WGATAR_1460,12895325,12895331,213,3,53,-2612,161,6.75,105.5,41.25,38.5,9.75,15.5,27.04,29.0,25.25,15.25,0.946538366,4.3935,0.0,20,0.1781435,0.027842045,-0.3226318359375,0.4
chr19:12895492-12895498,chr19,WGATAR_1459,12895492,12895498,46,1,53,-2445,68,16.25,301.75,85.5,167.25,13.25,26.0,62.4,53.0,39.75,31.0,1.128012438,11.505333333333335,-0.209,20,1.4039166,1.2280335,-0.1368408203125,0.45
chr19:12895566-12895572,chr19,WGATAR_1458,12895566,12895572,28,1,53,-2371,55,19.25,345.0,95.75,193.75,13.75,23.75,66.56,54.75,41.5,37.75,0.346412894,3.64347619047619,0.0,20,0.8891046,1.2017517,0.841094970703125,0.5
chr19:12895627-12895633,chr19,WGATAR_1457,12895627,12895633,89,3,53,-2310,55,14.75,269.75,78.25,125.25,12.25,15.5,52.0,43.5,31.0,30.75,0.868596889,8.93765,0.0,20,0.34779882,0.10002947,0.8553009033203125,0.4
chr19:12896424-12896430,chr19,WGATAR_1461,12896424,12896430,886,3,53,-510,791,8.5,21.25,11.0,10.0,6.5,5.25,6.76,11.5,9.5,5.25,0.762996537,4.9887999999999995,0.0,20,1.1861732,0.26597118,-1.4014892578125,0.4
chr19:12910789-12910795,chr19,WGATAR_1463,12910789,12910795,407,3,53,-2051,38,4.75,17.75,10.25,7.75,4.5,3.0,11.44,9.0,4.75,3.5,0.247316271,24.002,0.0,25,1.005786,0.7067957,-98.3912353515625,0.6
chr19:12910833-12910839,chr19,WGATAR_1464,12910833,12910839,363,1,53,-2007,38,4.0,21.75,11.0,7.0,3.75,3.75,13.0,9.5,5.75,3.25,0.99765071,6.099833333333334,0.0,25,0.73887426,0.4380045,-0.4154205322265625,0.6
chr19:12911187-12911193,chr19,WGATAR_1466,12911187,12911193,9,2,53,-1653,14,7.25,69.75,23.0,43.0,8.5,9.25,28.6,15.5,13.25,9.25,2.384478056,14.491052631578947,1.90217,25,0.848439,0.44521904,1.0587310791015625,0.5
chr19:12911207-12911213,chr19,WGATAR_1465,12911207,12911213,11,1,53,-1633,14,7.25,69.75,23.0,43.0,8.5,9.25,30.16,15.5,13.25,9.25,0.560960421,12.78321875,0.0,25,1.7013478,1.4296002,2.49334716796875,0.65
chr19:12911502-12911508,chr19,WGATAR_1462,12911502,12911508,306,3,53,-1338,289,12.5,18.25,12.25,10.5,20.0,9.25,12.48,10.25,12.75,7.0,1.111334842,4.9484090909090925,0.0,25,0.37897348,0.0045104027,-2.7517852783203125,0.3
chr19:12967553-12967559,chr19,WGATAR_1467,12967553,12967559,52,2,53,-21312,69,3.25,24.5,12.5,9.75,4.5,10.0,0.52,3.75,3.5,3.75,0.653463576,3.630058823529412,-0.4545,13,1.6452112,0.3949511,-2.055950164794922,0.25
chr19:12967628-12967634,chr19,WGATAR_1468,12967628,12967634,23,2,53,-21387,69,6.25,27.0,8.5,11.75,4.0,9.0,0.52,4.75,5.5,5.5,0.024833751,3.923250000000001,0.0,13,0.5027493,0.05140972,-1.50567626953125,0.4
chr19:12979641-12979647,chr19,WGATAR_1470,12979641,12979647,200,3,53,-33400,187,4.0,15.5,6.25,3.25,2.75,2.75,0.0,6.5,6.25,4.5,0.258348456,22.869999999999997,0.0,13,0.984759,0.4424417,-163.608642578125,0.4
chr19:12979834-12979840,chr19,WGATAR_1469,12979834,12979840,7,2,53,-33593,187,4.5,24.75,3.75,2.5,4.75,6.0,2.6,5.0,7.75,5.0,0.348461813,4.090833333333333,-0.351333,16,0.8429826,0.2849927,1.2699737548828125,0.4
chr19:12996268-12996274,chr19,WGATAR_1477,12996268,12996274,2192,1,53,-3989,900,39.5,23.25,19.5,7.75,99.0,11.25,20.8,43.25,20.0,8.5,0.902302944,9.80557142857143,0.0,25,0.088327706,0.031488895,42.30122375488281,0.6
chr19:12997174-12997180,chr19,WGATAR_1476,12997174,12997180,1286,3,53,-4795,8,19.5,275.5,79.0,148.0,12.5,20.75,19.76,78.5,48.75,25.5,0.448616808,22.60909090909091,0.0,25,1.9195447,1.4194937,-3.682342529296875,0.4
chr19:12997188-12997194,chr19,WGATAR_1475,12997188,12997194,1272,1,53,-4781,8,19.5,275.5,79.0,148.0,12.5,20.75,19.76,78.5,48.75,25.5,0.51129792,18.485238095238095,0.0,25,0.953665,0.64632607,1.5250244140625,0.55
chr19:12998022-12998028,chr19,WGATAR_1474,12998022,12998028,438,3,53,-8,47,13.75,215.0,30.25,34.5,17.75,17.25,37.96,124.5,37.0,19.5,0.542487016,6.597294117647059,0.0,26,0.48819566,0.09845114,-11.336044311523438,0.6
chr19:12998075-12998081,chr19,WGATAR_1473,12998075,12998081,385,1,53,-61,47,16.25,261.5,39.25,40.75,17.75,21.5,43.68,113.5,35.0,22.25,0.66992338,17.603846153846156,0.0,26,1.3000617,0.40519428,-25.47900390625,0.45
chr19:12998443-12998449,chr19,WGATAR_1472,12998443,12998449,17,3,53,-429,23,23.75,295.0,98.25,140.75,12.0,23.5,43.16,64.0,34.75,31.0,1.899027746,21.596666666666664,3.11933,26,1.8953426,2.0369217,-40.355072021484375,0.5
chr19:12998472-12998478,chr19,WGATAR_1471,12998472,12998478,12,1,53,-458,23,24.75,324.5,111.5,169.25,12.0,26.25,39.0,67.75,38.0,33.25,1.624446445,20.560833333333335,0.0,26,0.79426146,0.87251616,-41.116268157958984,0.7
chr19:13001815-13001821,chr19,WGATAR_1478,13001815,13001821,15,1,53,-154,3337,24.0,51.0,19.5,12.0,34.25,15.0,85.28,46.75,108.25,7.75,0.5353013,4.455928571428571,-2.01883,15,0.30882442,0.3335476,-3.18157958984375,0.5
chr19:13017803-13017809,chr19,WGATAR_1479,13017803,13017809,8,2,53,-13326,15982,3.75,18.25,6.25,2.75,1.25,5.5,0.0,6.75,5.0,3.5,0.495620435,4.243555555555556,0.387167,1,1.0768889,-0.0054636,-1.6028823852539062,0.45
chr19:13048957-13048963,chr19,WGATAR_1480,13048957,13048963,7,3,53,-430,2220,28.0,92.5,22.25,9.75,41.5,23.5,53.56,57.0,45.5,13.25,0.512032651,9.186892857142857,-0.274,26,1.1657426,0.878752,3.3945541381835938,0.45
chr19:13051183-13051189,chr19,WGATAR_1481,13051183,13051189,395,1,53,-5481,475,4.75,16.0,11.0,2.5,4.0,4.75,1.56,6.75,5.0,4.25,0.601606784,23.900000000000002,5.49933,25,1.0637125,0.030417204,-57.3095703125,0.45
chr19:13051664-13051670,chr19,WGATAR_1482,13051664,13051670,86,2,53,-5000,475,5.5,68.5,7.0,3.25,1.5,4.0,1.56,9.25,6.5,6.25,0.551444443,14.4017,0.0,25,0.29061174,0.057384014,-70.21977233886719,0.35
chr19:13058064-13058070,chr19,WGATAR_1483,13058064,13058070,823,3,53,-2764,610,2.75,8.25,15.75,5.0,7.75,9.5,8.32,26.5,10.0,5.0,0.496273394,4.513999999999999,0.0,25,0.27941275,0.05129814,-5.121337890625,0.4
chr19:13058680-13058686,chr19,WGATAR_1486,13058680,13058686,207,4,53,-3380,81,17.0,126.5,34.75,17.75,13.75,17.75,11.44,56.0,22.75,15.5,1.503632199,23.3,4.8025,25,0.07677007,0.040257215,-39.7655029296875,0.45
chr19:13058767-13058773,chr19,WGATAR_1485,13058767,13058773,120,2,53,-3467,81,19.5,185.5,51.25,38.75,16.75,19.0,18.2,64.5,30.5,20.75,0.90454546,17.732105263157894,0.0,25,0.41013408,0.29355955,-135.407958984375,0.5
chr19:13058946-13058952,chr19,WGATAR_1484,13058946,13058952,59,2,53,-3646,173,37.75,335.0,65.25,155.0,22.25,24.5,33.8,74.5,43.75,27.5,0.536349192,9.60425,0.0,16,1.0050745,0.54288816,3.19873046875,0.55
chr19:13067028-13067034,chr19,WGATAR_1487,13067028,13067034,21,2,53,-2636,8076,6.75,56.25,9.75,10.5,7.75,8.0,6.24,14.75,13.5,5.25,0.933394018,6.886318181818183,0.00999999,25,0.93285227,0.6283786,1.68939208984375,0.4
chr19:13144251-13144257,chr19,WGATAR_1488,13144251,13144257,15,2,53,-18927,36325,23.75,17.5,7.0,3.5,81.5,5.75,2.6,2.75,4.5,3.75,1.929502551,3.119527777777778,-0.5475,27,1.4453118,-0.19497943,1.303466796875,0.55
chr19:13180582-13180588,chr19,WGATAR_1492,13180582,13180588,64,4,53,-12193,65,30.25,661.25,181.0,314.75,41.5,29.25,57.72,79.75,56.5,47.25,0.23680657,22.626315789473683,0.0,20,1.6860694,0.9825964,-17.526123046875,0.4
chr19:13180653-13180659,chr19,WGATAR_1491,13180653,13180659,7,3,53,-12122,13,27.25,737.0,185.25,342.75,40.75,29.5,46.28,84.25,59.5,52.0,0.84819375,20.250769230769233,3.689,20,1.6576223,0.91753197,-90.93087768554688,0.55
chr19:13180672-13180678,chr19,WGATAR_1490,13180672,13180678,26,5,53,-12103,13,27.25,737.0,185.25,342.75,40.75,29.5,41.08,84.25,59.5,52.75,0.575574715,20.006956521739134,0.0,20,0.65566564,0.70693874,-80.16606140136719,0.45
chr19:13181032-13181038,chr19,WGATAR_1489,13181032,13181038,386,3,53,-11743,354,18.75,70.25,20.5,17.5,58.0,9.5,15.08,18.0,18.5,9.0,0.781480737,3.57788,0.0,25,0.841287,0.38467336,1.77288818359375,0.6
chr19:13188327-13188333,chr19,WGATAR_1494,13188327,13188333,11,2,53,-4448,20,15.0,188.25,39.75,76.25,11.5,14.0,16.64,33.75,46.25,21.0,2.489310006,20.030344827586212,2.75333,20,0.91850376,0.9124818,-129.85800170898438,0.6
chr19:13188353-13188359,chr19,WGATAR_1493,13188353,13188359,15,4,53,-4422,20,15.0,188.25,39.75,76.25,11.5,14.0,18.72,33.75,46.25,21.0,2.080559525,20.600689655172413,0.0,20,1.3427446,1.3375473,-34.91571044921875,0.6
chr19:13190221-13190227,chr19,WGATAR_1495,13190221,13190227,48,2,53,-2554,1862,10.75,53.0,10.25,6.0,12.0,9.75,10.4,10.5,13.0,8.5,1.784360279,6.1284374999999995,0.0,25,1.2569277,0.05613184,2.63311767578125,0.6
chr19:13213664-13213670,chr19,WGATAR_1497,13213664,13213670,6,1,53,-14007,23,18.5,1105.25,217.5,374.5,57.25,22.25,59.8,69.0,47.0,75.75,0.316891233,20.872857142857146,0.0,15,1.725493,1.0676985,-163.40771484375,0.6
chr19:13213693-13213699,chr19,WGATAR_1496,13213693,13213699,23,3,53,-13978,23,17.0,1205.5,228.5,441.25,54.0,24.0,65.0,77.0,51.75,73.5,1.024510134,22.12,2.2745,15,2.0868907,0.64206505,-194.5059814453125,0.6
chr19:39838704-39838710,chr19,WGATAR_1499,39838704,39838710,19,3,18,-5693,104,7.0,80.75,25.0,40.0,7.5,14.5,13.52,20.5,22.75,11.25,0.209489676,13.570555555555554,0.734,20,1.0820037,0.9090142,0.3258056640625,0.35
chr19:39838814-39838820,chr19,WGATAR_1498,39838814,39838820,91,3,18,-5803,104,8.0,83.0,24.75,44.0,6.0,13.75,7.28,20.0,16.25,11.25,0.126038243,7.216500000000001,0.0,20,0.26175308,0.0042922497,-1.84124755859375,0.4
chr19:39871934-39871940,chr19,WGATAR_1500,39871934,39871940,745,1,18,-10004,754,4.5,4.25,6.5,5.5,5.25,2.75,1.56,4.25,4.0,4.25,0.546996409,3.5854999999999992,-0.687667,25,1.1897256,0.40783095,-0.92376708984375,0.35
chr19:39872694-39872700,chr19,WGATAR_1501,39872694,39872700,15,3,18,-9244,754,23.5,232.25,69.25,150.0,18.5,15.75,11.44,48.0,36.5,24.5,0.275174168,6.51488888888889,0.0,20,2.3118372,1.7812068,1.017181396484375,0.5
chr19:39882860-39882866,chr19,WGATAR_1502,39882860,39882866,969,1,18,-1067,10160,5.75,6.75,9.75,5.0,7.75,4.5,0.0,6.75,4.25,7.0,0.605904129,5.534526315789474,0.0,12,0.43138558,-0.12028909,0.883819580078125,0.5
chr19:39941424-39941430,chr19,WGATAR_1504,39941424,39941430,21,2,18,-14836,134,5.0,23.5,5.0,4.5,4.0,2.75,3.64,2.75,5.0,3.75,0.208642236,2.1125833333333333,0.0,18,1.3039627,0.12660456,-2.2747802734375,0.4
chr19:39941564-39941570,chr19,WGATAR_1503,39941564,39941570,161,4,18,-14976,134,3.75,18.25,5.25,3.5,4.25,1.0,1.04,2.75,6.25,4.75,0.210533129,16.006666666666668,0.1635,4,0.12657654,0.017422915,1.8565826416015625,0.2
chr19:39976013-39976019,chr19,WGATAR_1507,39976013,39976019,24,2,18,-13517,19,4.0,18.0,8.5,6.75,4.0,2.75,1.56,7.5,5.0,3.25,0.394182945,4.711636363636364,0.0,9,0.05103779,0.113363266,-0.995819091796875,0.35
chr19:39976038-39976044,chr19,WGATAR_1506,39976038,39976044,1,2,18,-13492,19,4.5,21.75,10.0,9.5,4.75,2.75,1.56,7.0,5.0,3.0,0.432023357,6.054380952380952,0.0,9,0.20648456,0.22741842,-1.4139404296875,0.4
chr19:39976104-39976110,chr19,WGATAR_1505,39976104,39976110,67,2,18,-13426,60,3.75,24.25,10.75,12.0,4.5,2.75,1.04,6.0,5.25,3.0,0.525144832,3.3242727272727275,-0.525667,9,0.9615616,1.6085429,3.2496337890625,0.45
chr19:50179971-50179977,chr19,WGATAR_1508,50179971,50179977,51,1,35,-5352,1321,15.25,135.75,23.0,10.25,9.5,19.0,39.0,23.25,58.0,16.25,2.366242617,7.801666666666667,0.628,15,0.38942164,-0.029121399,-6.07513427734375,0.65
chr19:50181298-50181304,chr19,WGATAR_1510,50181298,50181304,21,1,35,-4025,200,46.5,28.75,15.5,8.75,214.0,6.0,6.24,13.25,17.75,5.25,1.022726113,8.758166666666666,0.0,26,0.94333696,0.10055733,2.01776123046875,0.35
chr19:50181504-50181510,chr19,WGATAR_1509,50181504,50181510,227,4,35,-3819,200,28.5,15.75,12.5,7.75,129.25,9.25,6.76,5.25,7.25,3.25,1.456515534,9.086315789473682,0.439167,28,1.1702296,0.033086777,-0.4476318359375,0.5
chr19:50279212-50279218,chr19,WGATAR_1511,50279212,50279218,18,2,35,-11326,44451,9.25,60.5,28.25,45.25,5.0,7.0,16.64,22.5,10.75,8.75,0.897623883,6.2204,0.0111667,20,2.5654705,1.9564488,-4.1099853515625,0.45
chr19:50323669-50323675,chr19,WGATAR_1515,50323669,50323675,27,2,35,-3037,87,20.75,212.0,49.5,62.75,11.75,16.25,52.52,30.0,19.75,18.25,0.106476812,5.3879230769230775,0.0,20,2.018828,1.1904552,-34.98149108886719,0.4
chr19:50323762-50323768,chr19,WGATAR_1514,50323762,50323768,66,4,35,-3130,87,24.0,261.0,59.75,89.25,10.75,15.25,31.2,30.0,23.5,17.25,0.003760079,5.39,0.0,20,1.6429914,0.7694788,-24.23919677734375,0.3
chr19:50323897-50323903,chr19,WGATAR_1513,50323897,50323903,201,2,35,-3265,129,18.5,115.5,37.75,32.0,7.0,6.75,19.24,17.5,18.5,11.5,0.540780472,4.777166666666667,0.0,25,0.8799753,0.34094596,-10.254150390625,0.4
chr19:50324048-50324054,chr19,WGATAR_1512,50324048,50324054,352,2,35,-3416,145,9.5,35.25,19.25,4.75,5.25,6.75,10.4,8.0,12.0,6.75,0.573914661,4.695333333333333,0.228667,25,0.05394554,-0.0077335835,1.349029541015625,0.4
chr19:50376178-50376184,chr19,WGATAR_1516,50376178,50376184,27,2,35,-4499,52124,8.5,22.5,15.25,16.25,7.25,9.0,10.4,18.0,12.5,4.75,1.635906604,11.42605128205128,0.978,25,1.5934734,1.0378561,-39.214996337890625,0.45
chr19:50429876-50429882,chr19,WGATAR_1517,50429876,50429882,54,1,35,-2078,53692,7.75,80.5,17.5,31.0,6.0,11.75,5.72,34.75,26.5,22.0,0.84169894,2.6009230769230767,0.0,27,1.2199146,0.10007048,2.098388671875,0.65
chr19:50485451-50485457,chr19,WGATAR_1519,50485451,50485457,48,3,35,-21023,54,4.5,15.25,12.75,9.75,5.5,4.25,1.04,9.0,7.5,6.75,0.280779769,3.3392727272727267,-0.106333,16,0.8178799,0.27912974,2.4417953491210938,0.4
chr19:50485511-50485517,chr19,WGATAR_1518,50485511,50485517,108,3,35,-21083,54,4.5,17.5,11.25,9.0,4.5,4.0,0.52,7.5,7.25,7.5,0.182160583,5.37275,0.0,16,1.5066521,0.89055514,-3.9232177734375,0.3
chr2:128300335-128300341,chr2,WGATAR_1556,128300335,128300341,321,2,18,-15874,0,3.25,13.5,5.0,1.75,0.25,2.25,0.52,2.0,0.75,2.5,0.404535054,6.438571428571429,0.0,10,0.67249715,0.062385082,-13.812187194824219,0.35
chr2:128300341-128300347,chr2,WGATAR_1555,128300341,128300347,315,2,18,-15880,0,3.25,13.5,5.0,1.75,0.25,2.25,0.52,2.0,0.75,2.5,0.807890818,5.156846153846154,0.152,10,0.041960835,-0.019298315,2.671630859375,0.45
chr2:128542416-128542422,chr2,WGATAR_1562,128542416,128542422,146,5,18,-103057,112,2.25,9.0,2.75,4.25,4.25,4.0,0.0,2.5,2.5,2.5,0.197428707,2.43175,0.0,1,0.006204784,-0.006219387,-4.59417724609375,0.2
chr2:128542534-128542540,chr2,WGATAR_1561,128542534,128542540,28,4,18,-103175,15,3.5,12.5,3.75,6.0,2.0,1.5,0.0,4.0,2.0,2.5,0.239725812,1.5811111111111111,0.0348333,1,0.37103868,0.607106,-3.2778167724609375,0.35
chr2:128542555-128542561,chr2,WGATAR_1560,128542555,128542561,7,1,18,-103196,15,3.5,12.5,3.75,6.0,2.0,1.5,0.0,4.0,2.0,2.5,0.208024619,11.920000000000002,0.0,1,0.20238888,0.17490244,-28.526275634765625,0.4
chr2:128542603-128542609,chr2,WGATAR_1559,128542603,128542609,41,5,18,-60202,42,3.5,14.25,3.0,6.5,1.75,0.75,0.0,5.75,2.0,2.25,0.079110749,7.257,0.0,1,0.24546242,0.1120379,-38.76387023925781,0.4
chr2:128542893-128542899,chr2,WGATAR_1558,128542893,128542899,505,2,18,-103534,138,3.25,6.75,4.0,0.25,0.5,2.5,0.52,4.75,2.5,0.25,0.082370084,0.0,0.0,7,0.31895405,0.06635618,-3.571044921875,0.35
chr2:128543037-128543043,chr2,WGATAR_1557,128543037,128543043,361,3,18,-101088,138,2.75,6.0,4.25,1.5,1.25,3.0,0.52,4.75,3.0,1.75,-0.499698822,4.390285714285715,0.0,7,0.06391221,0.010658026,3.5230712890625,0.35
chr2:128543218-128543224,chr2,WGATAR_1563,128543218,128543224,180,2,18,-103859,175,1.75,6.25,5.25,1.5,3.25,2.5,0.0,4.0,2.0,1.25,0.401548053,5.9324,-0.186167,1,0.019171774,-0.012978315,-5.634033203125,0.35
chr2:128543430-128543436,chr2,WGATAR_1564,128543430,128543436,32,1,18,-104071,206,3.0,9.0,8.0,0.5,2.75,2.5,0.52,6.0,1.5,3.0,0.276352481,1.8653793103448277,0.0,1,0.9213702,0.3814633,-3.16302490234375,0.55
chr2:128645141-128645147,chr2,WGATAR_1566,128645141,128645147,15,2,18,-1257,287,8.0,22.25,5.75,10.5,4.25,8.25,0.52,4.5,5.5,6.25,0.365632661,7.395636363636365,0.0,17,1.2034988,0.5474415,-0.43194580078125,0.4
chr2:128645434-128645440,chr2,WGATAR_1565,128645434,128645440,278,2,18,-964,287,2.75,10.25,6.5,3.75,4.25,2.75,0.52,3.25,2.75,3.25,1.471136097,18.583846153846153,1.7695,12,0.3676902,0.027710676,-1.629608154296875,0.45
chr2:198290258-198290264,chr2,WGATAR_1569,198290258,198290264,93,2,10,-22206,76,1.75,17.5,5.25,2.75,2.25,2.0,1.04,5.5,2.5,2.5,0.45831032,6.8193636363636365,0.0,5,0.50174177,0.055892467,-1.229400634765625,0.2
chr2:198290340-198290346,chr2,WGATAR_1568,198290340,198290346,11,2,10,-22124,23,2.25,24.25,6.25,3.0,2.5,2.5,1.56,7.5,2.5,3.0,0.768139412,6.291961538461539,0.190167,10,0.18595457,0.030580044,-0.2086181640625,0.4
chr2:198290369-198290375,chr2,WGATAR_1567,198290369,198290375,18,1,10,-22095,23,2.25,24.25,6.25,3.0,2.5,2.5,1.56,7.5,2.5,3.0,0.486033567,2.5515384615384615,0.0,10,0.6859498,0.65604687,-0.002899169921875,0.5
chr2:198291662-198291668,chr2,WGATAR_1570,198291662,198291668,7,3,10,-20802,1287,2.25,47.5,5.0,3.25,2.0,3.75,1.56,7.75,4.5,10.5,1.21100596,1.3323571428571428,-0.250167,5,0.9135157,0.06628132,-0.73492431640625,0.5
chr2:198295740-198295746,chr2,WGATAR_1572,198295740,198295746,12,1,10,-16724,14,5.75,23.25,7.25,8.0,4.25,4.5,1.56,3.25,8.25,4.25,0.657653566,2.524909090909091,0.0,10,-0.056661367,-0.17168832,-0.89013671875,0.45
chr2:198295760-198295766,chr2,WGATAR_1571,198295760,198295766,8,2,10,-16704,14,5.75,23.25,7.25,8.0,4.25,4.5,1.56,3.25,8.25,4.25,0.030918255,2.0581111111111112,0.0,10,0.2497313,0.17666602,-0.66552734375,0.2
chr2:198296520-198296526,chr2,WGATAR_1573,198296520,198296526,768,3,10,-15944,754,3.0,12.75,3.75,2.75,3.75,2.0,1.56,5.5,5.75,1.0,0.203681373,3.2319999999999993,0.0,10,0.036264837,-0.017594576,-1.7101898193359375,0.25
chr2:198325412-198325418,chr2,WGATAR_1576,198325412,198325418,141,3,10,-25598,60,2.0,13.25,7.75,8.0,1.75,4.75,6.24,5.25,5.5,3.75,0.498265779,6.7841,0.0,16,0.72480845,0.15070271,-2.7756118774414062,0.25
chr2:198325478-198325484,chr2,WGATAR_1575,198325478,198325484,75,3,10,-25664,60,1.75,16.75,8.75,11.0,2.0,4.0,5.2,4.75,5.0,5.75,-0.270730854,5.5040000000000004,0.0,16,0.73591614,0.19539309,-6.2296295166015625,0.25
chr2:198325552-198325558,chr2,WGATAR_1574,198325552,198325558,1,2,10,-25738,68,1.5,20.0,9.25,11.0,1.75,5.0,9.88,4.5,5.5,5.5,0.841394382,3.5108999999999995,0.0,27,0.46022356,0.38576984,-1.4169845581054688,0.3
chr2:198325904-198325910,chr2,WGATAR_1577,198325904,198325910,351,2,10,-26090,346,5.0,9.5,6.0,4.5,1.75,5.25,7.8,4.75,4.75,4.75,0.38551828,5.929333333333335,0.0,27,0.15804142,0.04916048,-5.153656005859375,0.4
chr2:198362024-198362030,chr2,WGATAR_1578,198362024,198362030,217,1,10,-2835,205,3.25,15.0,5.5,5.0,2.75,3.75,1.04,3.25,7.25,1.25,-0.102645527,0.0,0.0,25,0.3800578,0.026373863,-160.0926513671875,0.3
chr2:198362235-198362241,chr2,WGATAR_1581,198362235,198362241,6,3,10,-2624,184,10.75,36.5,8.25,15.0,3.5,8.5,1.04,6.25,8.25,6.0,0.903896567,10.267315789473685,0.0,25,1.1242669,0.5699277,-2.6492767333984375,0.35
chr2:198362425-198362431,chr2,WGATAR_1580,198362425,198362431,184,2,10,-2434,22,5.0,21.5,4.75,9.0,3.5,5.75,0.52,9.75,5.0,6.75,0.390578497,4.734357142857142,0.0,25,0.09074545,-0.007430315,-0.778564453125,0.35
chr2:198362453-198362459,chr2,WGATAR_1579,198362453,198362459,212,4,10,-2406,22,5.0,21.5,4.75,9.0,3.5,5.75,0.52,9.75,5.0,6.75,0.535440203,6.440888888888889,0.0,25,0.24969035,-0.0010421276,-0.50860595703125,0.35
chr2:198371527-198371533,chr2,WGATAR_1584,198371527,198371533,106,2,10,-8763,26,2.25,8.25,6.5,7.5,0.25,4.75,0.0,5.0,4.75,2.5,0.267832182,3.560166666666667,0.0,1,0.1037128,0.1690383,-1.38372802734375,0.25
chr2:198371559-198371565,chr2,WGATAR_1583,198371559,198371565,74,3,10,-8731,26,2.25,8.25,6.5,7.5,0.25,4.75,0.0,5.0,4.75,2.5,0.579808363,7.6648571428571435,0.0,1,0.22252691,0.20809937,-1.8086471557617188,0.35
chr2:198371635-198371641,chr2,WGATAR_1582,198371635,198371641,2,2,10,-8655,70,1.5,10.75,6.75,9.25,0.0,4.25,0.0,5.5,5.25,3.0,0.785415685,3.916352941176471,0.709667,1,1.4395928,0.71950674,-2.270923614501953,0.3
chr2:198378820-198378826,chr2,WGATAR_1586,198378820,198378826,18,2,10,-1470,29,4.0,20.75,10.25,6.75,3.75,3.5,1.04,4.5,7.5,6.25,0.739346243,1.708142857142857,0.166833,16,1.4215449,0.639992,1.7430953979492188,0.55
chr2:198378855-198378861,chr2,WGATAR_1585,198378855,198378861,17,2,10,-1435,29,6.5,24.75,11.0,7.5,3.25,3.0,1.04,4.5,8.25,5.75,0.467287227,9.686857142857141,0.0,16,1.2820637,0.25503588,0.6982421875,0.45
chr2:198381895-198381901,chr2,WGATAR_1587,198381895,198381901,13,2,10,-435,3034,3.0,19.75,7.0,3.5,3.0,5.5,1.04,5.5,3.0,2.25,1.042141202,5.305909090909091,-0.562833,14,0.55774516,0.054735422,-2.57891845703125,0.45
chr2:198441778-198441784,chr2,WGATAR_1588,198441778,198441784,39,2,10,-60318,59877,2.0,31.5,4.0,8.5,1.5,2.25,0.52,5.75,1.25,7.0,0.709619695,3.240681818181818,0.126167,7,0.67782414,0.38525152,-8.50457763671875,0.5
chr2:219271901-219271907,chr2,WGATAR_1589,219271901,219271907,345,3,12,-7960,15501,21.5,42.25,17.0,20.0,30.25,12.5,22.88,42.75,18.0,13.0,0.760748485,7.9087000000000005,0.0,26,0.90480876,0.6048794,1.3114013671875,0.5
chr2:219287408-219287414,chr2,WGATAR_1591,219287408,219287414,18,3,12,-23467,114,12.0,197.5,31.25,63.25,6.25,11.75,28.08,27.5,23.0,24.25,0.704294372,15.683846153846154,0.0,20,0.66828394,0.6046138,0.567840576171875,0.4
chr2:219287528-219287534,chr2,WGATAR_1590,219287528,219287534,138,1,12,-23587,114,9.5,109.25,18.0,24.5,2.25,9.75,6.24,16.25,14.25,19.5,0.931524971,6.583125,0.443333,20,0.1332478,0.07695603,0.7720184326171875,0.65
chr2:219319744-219319750,chr2,WGATAR_1596,219319744,219319750,14,2,12,-55803,252,1.75,8.0,4.25,2.75,4.75,2.75,0.0,2.75,0.0,0.5,0.576112639,11.24,0.0,1,1.1461748,0.05186987,-5.1747283935546875,0.4
chr2:219320002-219320008,chr2,WGATAR_1595,219320002,219320008,272,1,12,-56061,37,3.75,5.25,4.25,1.25,3.5,1.0,0.0,0.25,1.0,1.5,0.636094929,9.51575,0.0,1,0.56720763,0.019083977,-0.3174285888671875,0.35
chr2:219320045-219320051,chr2,WGATAR_1594,219320045,219320051,315,1,12,-56104,37,3.75,5.25,5.25,1.75,3.5,0.75,0.0,0.0,1.25,1.0,1.061253437,10.040666666666667,0.0,1,0.0033129454,0.0093102455,0.58447265625,0.25
chr2:219320155-219320161,chr2,WGATAR_1593,219320155,219320161,425,3,12,-56214,14,4.0,4.5,5.0,3.0,2.5,0.75,0.0,0.0,1.0,0.5,0.092198068,6.4338999999999995,0.0,1,0.30118108,0.005760908,-1.685791015625,0.4
